school,fall_year,spring_year,academic_year,gender,applied_for_bachelors,admitted_for_bachelors,enrolled_for_bachelors,completed_bachelors
Stanford,2023,2024,2023-24,male,27133,1044,846,759
Stanford,2023,2024,2023-24,female,26600,1055,853,787
Stanford,2022,2023,2022-23,male,28379,948,794,794
Stanford,2022,2023,2022-23,female,27999,1127,942,773
Stanford,2021,2022,2021-22,male,28332,1068,861,672
Stanford,2021,2022,2021-22,female,27139,1122,896,749
Stanford,2020,2021,2020-21,male,23801,1127,778,821
Stanford,2020,2021,2020-21,female,21426,1222,828,854
Stanford,2019,2020,2019-20,male,24902,987,824,898
Stanford,2019,2020,2019-20,female,22596,1075,874,887
Stanford,2018,2019,2018-19,male,24692,1048,866,872
Stanford,2018,2019,2018-19,female,22760,1023,831,803
Stanford,2017,2018,2017-18,male,23254,1019,826,842
Stanford,2017,2018,2017-18,female,20819,1066,874,724
Stanford,2016,2017,2016-17,male,23005,1031,854,865
Stanford,2016,2017,2016-17,female,20992,1087,885,785
Stanford,2015,2016,2015-16,male,22831,1073,867,826
Stanford,2015,2016,2015-16,female,19666,1067,853,750
Stanford,2014,2015,2014-15,male,22536,1083,857,863
Stanford,2014,2015,2014-15,female,19631,1062,821,771
Duke,2023,2024,2023-24,male,21550,1463,791,1020
Duke,2023,2024,2023-24,female,24815,1682,951,1255
Duke,2022,2023,2022-23,male,23211,1437,793,833
Duke,2022,2023,2022-23,female,26805,1737,952,1017
Duke,2021,2022,2021-22,male,23096,1309,777,840
Duke,2021,2022,2021-22,female,26607,1618,967,1001
Duke,2020,2021,2020-21,male,20180,1558,805,893
Duke,2020,2021,2020-21,female,19459,1510,775,1028
Duke,2019,2020,2019-20,male,20183,1602,877,896
Duke,2019,2020,2019-20,female,21314,1585,854,962
Duke,2018,2019,2018-19,male,17281,1578,836,874
Duke,2018,2019,2018-19,female,18505,1611,909,982
Duke,2017,2018,2017-18,male,16226,1616,856,883
Duke,2017,2018,2017-18,female,16851,1645,892,996
Duke,2016,2017,2016-17,male,15543,1654,831,854
Duke,2016,2017,2016-17,female,16128,1776,892,956
Duke,2015,2016,2015-16,male,15568,1824,899,843
Duke,2015,2016,2015-16,female,15652,1742,847,997
Duke,2014,2015,2014-15,male,15668,1832,867,861
Duke,2014,2015,2014-15,female,15855,1764,854,1022
UofMich,2023,2024,2023-24,male,43607,7007,3397,3943
UofMich,2023,2024,2023-24,female,44025,8715,4029,3988
UofMich,2022,2023,2022-23,male,42285,6434,3060,3904
UofMich,2022,2023,2022-23,female,42004,8480,3964,3893
UofMich,2021,2022,2021-22,male,40378,7224,3251,3969
UofMich,2021,2022,2021-22,female,39365,8847,4000,4026
UofMich,2020,2021,2020-21,male,33386,8084,3244,3835
UofMich,2020,2021,2020-21,female,31635,8890,3591,3799
UofMich,2019,2020,2019-20,male,33697,6987,3310,3449
UofMich,2019,2020,2019-20,female,31275,7896,3504,3460
UofMich,2018,2019,2018-19,male,33613,7080,3286,3627
UofMich,2018,2019,2018-19,female,31304,7738,3378,3670
UofMich,2017,2018,2017-18,male,31664,7673,3328,3415
UofMich,2017,2018,2017-18,female,28222,8198,3519,3491
UofMich,2016,2017,2016-17,male,29167,7613,3257,3507
UofMich,2016,2017,2016-17,female,26337,8258,3418,3426
UofMich,2015,2016,2015-16,male,27792,6694,2966,3507
UofMich,2015,2016,2015-16,female,24005,6917,3084,3426
UofMich,2014,2015,2014-15,male,26562,7895,3229,3539
UofMich,2014,2015,2014-15,female,23214,8152,3246,3398
Columbia,2023,2024,2023-24,male,23972,1174,726,1232
Columbia,2023,2024,2023-24,female,35452,1210,743,1184
Columbia,2022,2023,2022-23,male,24499,1151,719,1092
Columbia,2022,2023,2022-23,female,34973,1199,738,1117
Columbia,2021,2022,2021-22,male,25463,1231,782,1124
Columbia,2021,2022,2021-22,female,35647,1293,810,999
Columbia,2020,2021,2020-21,male,18488,1276,714,1223
Columbia,2020,2021,2020-21,female,21974,1419,769,1059
Columbia,2019,2020,2019-20,male,19362,1152,702,1211
Columbia,2019,2020,2019-20,female,23461,1180,732,982
Columbia,2018,2019,2018-19,male,18360,1130,692,1109
Columbia,2018,2019,2018-19,female,22212,1269,755,949
Columbia,2017,2018,2017-18,male,17118,1202,724,1067
Columbia,2017,2018,2017-18,female,20555,1208,710,948
Columbia,2016,2017,2016-17,male,16841,1259,780,1086
Columbia,2016,2017,2016-17,female,20168,1267,777,1135
Columbia,2015,2016,2015-16,male,16988,1262,802,
Columbia,2015,2016,2015-16,female,19923,1176,781,
Columbia,2014,2015,2014-15,male,15165,1168,718,1053
Columbia,2014,2015,2014-15,female,17802,1123,706,1008