housing_id,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat,medv
291,0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,3.33,28.5
292,0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,3.56,37.3
293,0.03615,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,4.7,27.9
294,0.08265,0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16,8.58,23.9
295,0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16,10.4,21.7
296,0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16,6.27,28.6
297,0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,7.39,27.1
298,0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3
299,0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5
300,0.05561,70,2.24,0,0.4,7.041,10,7.8278,5,358,14.8,4.74,29
301,0.04417,70,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,6.07,24.8
302,0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5,22
303,0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,8.67,26.4
304,0.1,34,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,4.86,33.1
305,0.05515,33,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,6.93,36.1
306,0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4
307,0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,6.47,33.4
308,0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,7.53,28.2
309,0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54,22.8
310,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97,20.3
311,2.63548,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64,16.1
312,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1
313,0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72,19.4
314,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,7.9,21.6
315,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28,23.8
316,0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5,16.2
317,0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33,17.8
318,0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94,19.8
319,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36,23.1
320,0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73,21
321,0.1676,0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,7.2,23.8
322,0.18159,0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,6.87,23.1
323,0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,7.7,20.4
324,0.28392,0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,11.74,18.5
325,0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25
326,0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08,24.6
327,0.30347,0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23
328,0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2
329,0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3
330,0.06724,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,7.34,22.6
331,0.04544,0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,9.09,19.8
332,0.05023,35,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43,17.1
333,0.03466,35,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,7.83,19.4
334,0.05083,0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,5.68,22.2
335,0.03738,0,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,6.75,20.7
336,0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,8.01,21.1
337,0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,9.8,19.5
338,0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,10.56,18.5
339,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6
340,0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74,19
341,0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,9.29,18.7
342,0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,5.49,32.7
343,0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,8.65,16.5
344,0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18,23.9
345,0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,4.61,31.2
346,0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,10.53,17.5
347,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,12.67,17.2
348,0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,6.36,23.1
349,0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99,24.5
350,0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,5.89,26.6
351,0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,5.98,22.9
352,0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,5.49,24.1
353,0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,7.79,18.6
354,0.01709,90,2.02,0,0.41,6.728,36.1,12.1265,5,187,17,4.5,30.1
355,0.04301,80,1.91,0,0.413,5.663,21.9,10.5857,4,334,22,8.05,18.2
356,0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22,5.57,20.6
357,8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6,17.8
358,3.8497,0,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,13.27,21.7
359,5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48,22.7
360,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67,22.6
361,4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79,25
362,3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,14.19,19.9
363,3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8
364,4.22239,0,18.1,1,0.77,5.803,89,1.9047,24,666,20.2,14.64,16.8
365,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,5.29,21.9
366,4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5
367,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14,21.9
368,13.5222,0,18.1,0,0.631,3.863,100,1.5106,24,666,20.2,13.33,23.1
369,4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,3.26,50
370,5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73,50
371,6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50
372,9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,9.53,50
373,8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88,50
374,11.1081,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,34.77,13.8
375,18.4982,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,37.97,13.8
376,19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,13.44,15
377,15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,23.24,13.9
378,9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24,13.3
379,23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,23.69,13.1
380,17.8667,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,21.78,10.2
381,88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,17.21,10.4
382,15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,21.08,10.9
383,9.18702,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,23.6,11.3
384,7.99248,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,24.56,12.3
385,20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63,8.8
386,16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,30.81,7.2
387,24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,28.28,10.5
388,22.5971,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,31.99,7.4
389,14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,30.62,10.2
390,8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,20.85,11.5
391,6.96215,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,17.11,15.1
392,5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76,23.2
393,11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,25.68,9.7
394,8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,15.17,13.8
395,13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35,12.7
396,8.71675,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,17.12,13.1
397,5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37,12.5
398,7.67202,0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,19.92,8.5
399,38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,30.59,5
400,9.91655,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,29.97,6.3
401,25.0461,0,18.1,0,0.693,5.987,100,1.5888,24,666,20.2,26.77,5.6
402,14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,20.32,7.2
403,9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,20.31,12.1
404,24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,19.77,8.3
405,41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,27.38,8.5
406,67.9208,0,18.1,0,0.693,5.683,100,1.4254,24,666,20.2,22.98,5
407,20.7162,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,23.34,11.9
408,11.9511,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,12.13,27.9
409,7.40389,0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,26.4,17.2
410,14.4383,0,18.1,0,0.597,6.852,100,1.4655,24,666,20.2,19.78,27.5
411,51.1358,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,10.11,15
412,14.0507,0,18.1,0,0.597,6.657,100,1.5275,24,666,20.2,21.22,17.2
413,18.811,0,18.1,0,0.597,4.628,100,1.5539,24,666,20.2,34.37,17.9
414,28.6558,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,20.08,16.3
415,45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,36.98,7
416,18.0846,0,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,29.05,7.2
417,10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,25.79,7.5
418,25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,26.64,10.4
419,73.5341,0,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,20.62,8.8
420,11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,22.74,8.4
421,11.0874,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,15.02,16.7
422,7.02259,0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,15.7,14.2
423,12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,14.1,20.8
424,7.05042,0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,23.29,13.4
425,8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16,11.7
426,15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,24.39,8.3
427,12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,15.69,10.2
428,37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,14.52,10.9
429,7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52,11
430,9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08,9.5
431,8.49213,0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,17.64,14.5
432,10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69,14.1
433,6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
434,5.58107,0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,16.22,14.3
435,13.9134,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,15.17,11.7
436,11.1604,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,23.27,13.4
437,14.4208,0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,18.05,9.6
438,15.1772,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,26.45,8.7
439,13.6781,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,34.02,8.4
440,9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8
441,22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,22.11,10.5
442,9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,19.52,17.1
443,5.66637,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59,18.4
444,9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85,15.4
445,12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79,10.8
446,10.6718,0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,23.98,11.8
447,6.28807,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,17.79,14.9
448,9.92485,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,16.44,12.6
449,9.32909,0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,18.13,14.1
450,7.52601,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,19.31,13
451,6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,17.44,13.4
452,5.44114,0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,17.73,15.2
453,5.09017,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,17.27,16.1
454,8.24809,0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,16.74,17.8
455,9.51363,0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,18.71,14.9
456,4.75237,0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1
457,4.66883,0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,19.01,12.7
458,8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,16.94,13.5
459,7.75223,0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,16.23,14.9
460,6.80117,0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,14.7,20
461,4.81213,0,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,16.42,16.4
462,3.69311,0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65,17.7
463,6.65492,0,18.1,0,0.713,6.317,83,2.7344,24,666,20.2,13.99,19.5
464,5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29,20.2
465,7.83932,0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4
466,3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13,19.9
467,3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15,19
468,4.42228,0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,21.32,19.1
469,15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13,19.1
470,13.0751,0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,14.76,20.1
471,4.34879,0,18.1,0,0.58,6.167,84,3.0334,24,666,20.2,16.29,19.9
472,4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87,19.6
473,3.56868,0,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,14.36,23.2
474,4.64689,0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,11.66,29.8
475,8.05579,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,18.14,13.8
476,6.39312,0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,24.1,13.3
477,4.87141,0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,18.68,16.7
478,15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,24.91,12
479,10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
480,14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,13.11,21.4
481,5.82401,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74,23
482,5.70818,0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
483,5.73116,0,18.1,0,0.532,7.061,77,3.4106,24,666,20.2,7.01,25
484,2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
485,2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,13.34,20.6
486,3.67367,0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,10.58,21.2
487,5.69175,0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,14.98,19.1
488,4.83567,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45,20.6
489,0.15086,0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,18.06,15.2
490,0.18337,0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,23.97,7
491,0.20746,0,27.74,0,0.609,5.093,98,1.8226,4,711,20.1,29.68,8.1
492,0.10574,0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,18.07,13.6
493,0.11132,0,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,13.35,20.1
494,0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,12.01,21.8
495,0.27957,0,9.69,0,0.585,5.926,42.6,2.3817,6,391,19.2,13.59,24.5
496,0.17899,0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,17.6,23.1
497,0.2896,0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,21.14,19.7
498,0.26838,0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,14.1,18.3
499,0.23912,0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,12.92,21.2
500,0.17783,0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1,17.5
501,0.22438,0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,14.33,16.8
502,0.06263,0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,9.67,22.4
503,0.04527,0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,9.08,20.6
504,0.06076,0,11.93,0,0.573,6.976,91,2.1675,1,273,21,5.64,23.9
505,0.10959,0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21,6.48,22
506,0.04741,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,7.88,11.9