race_name,short_race_name,date,driver_ID,driver,team,chassis,engine,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,5," O'Ward, Pato ",Arrow McLaren,Dallara,Chevy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,7," Lundgaard, Christian ",Arrow McLaren,Dallara,Chevy,2,2,2,2,2,2,2,2,2,3,18,14,11,9,8,5,3,3,2,2,2,2,2,2,2,2,2,2,2,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,10," Palou, Alex ",Ganassi Racing,Dallara,Honda,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,26," Herta, Colton ",Andretti,Dallara,Honda,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,7,7,6,5,5,5,5,5,5,5,5,5,5,4,4,10,7,7,5,5,5,5,5,5,5,5,5,5,5,5,6,8,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,20," Rossi, Alexander ",Ed Carpenter Racing,Dallara,Chevy,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,2,1,7,7,7,7,7,7,7,6,6,6,5,3,3,3,4,8,7,7,7,7,7,7,7,7,7,7,7,7,6,9,9,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,27," Kirkwood, Kyle ",Andretti,Dallara,Honda,6,6,6,6,6,6,6,6,6,6,5,5,7,12,10,6,6,5,4,4,4,4,4,4,4,4,4,4,6,10,9,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,6,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,66," Armstrong, Marcus ",Meyer Shank Racing,Dallara,Honda,7,7,7,7,7,7,7,7,7,7,6,9,14,13,11,8,8,7,6,6,6,6,6,6,6,7,8,9,15,15,12,10,9,9,8,8,8,8,8,8,8,8,8,8,8,9,12,11,11,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,45," Foster, Louis ",Rahal Letterman Lanigan,Dallara,Honda,8,8,8,8,8,8,9,10,11,13,12,16,21,19,17,15,15,14,14,14,14,14,14,15,15,15,14,14,11,12,19,19,20,20,20,20,21,20,20,20,20,19,19,19,18,20,22,22,21,22,23,23,23,24,24,24,24,24,24,24,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,60," Rosenqvist, Felix ",Meyer Shank Racing,Dallara,Honda,9,9,10,12,13,13,13,13,14,19,24,21,16,15,13,10,10,9,9,9,9,8,8,8,8,8,7,7,7,13,11,9,8,7,6,6,6,6,6,6,6,6,6,6,6,5,5,8,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,4," Malukas, David ",AJ Foyt Racing,Dallara,Chevy,10,10,9,9,9,9,8,8,8,8,7,6,5,5,6,11,11,10,10,10,10,10,10,10,10,11,11,10,9,11,18,18,17,17,17,17,18,17,18,17,17,18,18,18,17,17,15,14,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,14," Ferrucci, Santino ",AJ Foyt Racing,Dallara,Chevy,11,12,12,11,11,12,12,12,12,11,10,8,8,8,14,12,12,11,11,11,11,11,12,12,12,12,12,13,14,14,20,20,19,19,18,18,16,16,15,15,15,15,14,14,14,12,9,7,8,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,28," Ericsson, Marcus ",Andretti,Dallara,Honda,12,11,11,10,10,10,10,9,9,9,8,7,6,6,7,21,21,21,20,20,21,21,21,21,21,20,20,24,23,22,21,21,22,22,22,22,22,21,21,21,21,20,20,20,19,21,23,23,22,21,21,20,20,20,20,20,20,20,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,18," Veekay, Rinus ",Dale Coyne Racing,Dallara,Honda,13,13,13,13,12,11,11,11,10,10,9,11,15,14,12,9,9,8,8,8,8,9,9,9,9,9,9,8,8,6,5,14,12,12,11,11,14,15,16,19,19,21,24,24,24,24,21,21,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,15," Rahal, Graham ",Rahal Letterman Lanigan,Dallara,Honda,14,14,14,14,14,14,14,15,15,14,13,12,10,11,21,19,20,20,19,19,19,19,19,18,18,16,15,15,12,8,7,8,16,16,15,15,13,13,12,12,12,12,11,11,11,8,7,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,21," Rasmussen, Christian ",Ed Carpenter Racing,Dallara,Chevy,15,15,15,15,15,15,15,14,13,12,11,10,9,7,5,4,4,15,15,15,15,15,15,14,14,14,13,12,10,7,6,5,5,6,16,16,15,14,14,14,14,13,13,13,13,14,19,17,15,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,9," Dixon, Scott ",Ganassi Racing,Dallara,Honda,16,16,16,16,16,16,16,16,16,15,14,17,23,21,19,17,17,17,17,17,17,17,17,17,17,19,24,22,21,20,16,16,14,14,12,12,11,11,11,11,11,11,12,12,12,13,17,15,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,76," Daly, Conor ",Juncos Hollinger Racing,Dallara,Chevy,17,18,18,18,18,18,18,18,18,17,16,13,12,16,23,22,22,22,22,21,20,20,20,20,19,17,16,16,13,9,8,13,18,18,19,19,19,18,17,16,16,16,16,15,15,15,10,13,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,6," Siegel, Nolan ",Arrow McLaren,Dallara,Chevy,18,19,19,19,19,19,19,19,19,23,25,22,18,17,15,13,13,12,12,12,12,13,13,13,13,13,17,23,22,21,17,17,15,15,14,14,17,23,23,23,23,23,21,21,20,18,16,16,14,14,16,21,21,21,21,21,21,21,20,19,19,19,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,83," Shwartzman, Robert ",Prema,Dallara,Chevy,19,17,17,17,17,17,17,17,17,16,15,18,26,24,24,23,23,23,23,22,22,23,23,23,23,22,19,20,24,24,23,23,23,23,23,23,23,22,22,22,22,22,22,23,22,23,24,24,24,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,8," Simpson, Kyffin ",Ganassi Racing,Dallara,Honda,20,20,20,20,20,20,21,21,21,20,20,25,24,22,20,18,18,18,18,18,18,18,18,19,20,24,23,21,20,19,15,15,13,13,13,13,12,12,13,13,13,14,15,17,23,22,20,18,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,2," Newgarden, Josef ",Team Penske,Dallara,Chevy,21,22,22,22,22,22,22,22,22,21,21,24,22,20,18,16,16,16,16,16,16,16,16,16,16,18,22,19,19,17,14,12,11,11,10,10,10,10,10,10,10,10,10,10,10,11,14,12,12,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,51," Abel, Jacob ",Dale Coyne Racing,Dallara,Honda,22,21,21,21,21,21,20,20,20,18,17,15,13,10,9,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,12," Power, Will ",Team Penske,Dallara,Chevy,23,23,23,23,23,23,23,23,23,25,26,23,19,18,16,14,14,13,13,13,13,12,11,11,11,10,10,11,16,16,13,11,10,10,9,9,9,9,9,9,9,9,9,9,9,10,11,10,10,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,77," Robb, Sting Ray ",Juncos Hollinger Racing,Dallara,Chevy,24,24,24,24,24,24,24,24,24,22,19,19,17,25,25,24,24,24,25,24,24,24,24,24,24,23,21,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,23,22,21,19,18,20,23,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,30," DeFrancesco, Devlin ",Rahal Letterman Lanigan,Dallara,Honda,25,25,25,26,26,26,26,26,26,26,23,20,20,26,26,25,25,25,24,23,23,22,22,22,22,21,18,17,17,23,22,22,21,21,21,21,20,19,19,18,18,17,17,16,16,16,13,19,20,20,20,19,19,19,19,19,19,19,19,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,3," McLaughlin, Scott ",Team Penske,Dallara,Chevy,26,26,26,25,25,25,25,25,25,24,22,26,25,23,22,20,19,19,21,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,90," Ilott, Callum ",Prema,Dallara,Chevy,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27," Kirkwood, Kyle ",Andretti,Dallara,Honda,1,1,1,1,1,1,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,4,3,1,1,1,1,1,5,8,7,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,26," Herta, Colton ",Andretti,Dallara,Honda,2,2,2,2,13,22,17,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,8,7,7,7,5,4,6,14,13,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,6,5,3,3,5,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,60," Rosenqvist, Felix ",Meyer Shank Racing,Dallara,Honda,3,3,3,3,2,19,15,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,6,5,3,3,3,11,16,13,11,10,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,8,12,9,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,3," McLaughlin, Scott ",Team Penske,Dallara,Chevy,4,4,4,4,23,21,16,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,7,7,6,6,6,14,17,14,12,11,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,15,16,14,11,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,10," Palou, Alex ",Ganassi Racing,Dallara,Honda,5,5,5,5,3,8,14,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,4,2,2,2,2,5,11,9,8,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,20," Rossi, Alexander ",Ed Carpenter Racing,Dallara,Chevy,6,6,6,6,4,2,7,16,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,12,12,12,11,11,9,12,17,17,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,12,12,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,28," Ericsson, Marcus ",Andretti,Dallara,Honda,7,7,7,7,5,10,20,17,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,11,10,10,10,9,9,7,9,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,11,10,10,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,66," Armstrong, Marcus ",Meyer Shank Racing,Dallara,Honda,8,8,8,8,6,3,1,6,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,18,17,16,13,11,9,7,20,20,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,17,17,17,17,17,17,16,13,11,8,8,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,4," Malukas, David ",AJ Foyt Racing,Dallara,Chevy,9,9,9,10,21,24,23,20,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,15,15,14,14,17,24,20,20,19,19,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,15,18,19,17,17,17,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,5," O'Ward, Pato ",Arrow McLaren,Dallara,Chevy,10,10,10,9,7,12,21,19,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,14,14,14,13,13,16,22,18,18,17,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,16,18,15,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,6," Siegel, Nolan ",Arrow McLaren,Dallara,Chevy,11,11,11,11,8,5,3,2,4,13,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,23,22,15,12,10,9,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,7," Lundgaard, Christian ",Arrow McLaren,Dallara,Chevy,12,12,12,12,9,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,4,4,4,3,2,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,15,13,10,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,12," Power, Will ",Team Penske,Dallara,Chevy,13,13,13,13,10,18,22,18,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,11,11,11,10,10,8,7,7,15,14,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,8,8,8,8,8,8,8,7,6,4,7,12,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,,,,,,,,,,
