race_name,short_race_name,date,finish_place,driver_ID,driver,PitNumber,LapNumber,Time_of_Race
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,12,28,"Ericsson, Marcus",3,63,01:14:44.5051
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,13,5,"O'Ward, Pato",1,6,00:07:17.3658
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,13,5,"O'Ward, Pato",2,33,00:39:22.1059
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,13,5,"O'Ward, Pato",3,61,01:12:25.7077
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,14,66,"Armstrong, Marcus",1,8,00:09:36.9801
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,14,66,"Armstrong, Marcus",2,36,00:42:56.9960
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,14,66,"Armstrong, Marcus",3,64,01:15:59.6564
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,15,20,"Rossi, Alexander",1,7,00:08:25.6174
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,15,20,"Rossi, Alexander",2,34,00:40:29.5856
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,15,20,"Rossi, Alexander",3,62,01:13:38.9895
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,16,45,"Foster, Louis (R)",1,5,00:06:15.6479
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,16,45,"Foster, Louis (R)",2,34,00:40:40.4667
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,16,45,"Foster, Louis (R)",3,62,01:13:42.2972
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,17,4,"Malukas, David",1,5,00:06:07.7571
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,17,4,"Malukas, David",2,33,00:39:23.3359
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,17,4,"Malukas, David",3,61,01:12:30.3472
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,18,83,"Shwartzman, Robert (R)",1,25,00:29:44.4406
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,18,83,"Shwartzman, Robert (R)",2,53,01:02:57.4287
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,18,83,"Shwartzman, Robert (R)",3,65,01:17:32.5534
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,19,18,"Veekay, Rinus",1,7,00:08:49.3386
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,19,18,"Veekay, Rinus",2,34,00:40:59.2032
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,19,18,"Veekay, Rinus",3,62,01:14:02.6580
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,20,6,"Siegel, Nolan",1,10,00:12:28.4062
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,20,6,"Siegel, Nolan",2,38,00:45:41.9337
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,20,6,"Siegel, Nolan",3,61,01:12:52.6821
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,21,90,"Ilott, Callum",1,7,00:08:47.0475
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,21,90,"Ilott, Callum",2,34,00:41:00.7898
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,21,90,"Ilott, Callum",3,62,01:14:18.6439
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,22,15,"Rahal, Graham",1,3,00:03:49.7844
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,22,15,"Rahal, Graham",2,32,00:38:16.3889
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,22,15,"Rahal, Graham",3,58,01:09:10.7701
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,23,21,"Rasmussen, Christian",1,3,00:03:59.6852
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,23,21,"Rasmussen, Christian",2,30,00:36:14.7916
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,23,21,"Rasmussen, Christian",3,60,01:11:56.7715
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,24,30,"DeFrancesco, Devlin",1,7,00:08:54.6981
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,24,30,"DeFrancesco, Devlin",2,34,00:41:01.7061
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,24,30,"DeFrancesco, Devlin",3,62,01:14:27.1610
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,25,76,"Daly, Conor",1,6,00:07:34.9468
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,25,76,"Daly, Conor",2,32,00:38:39.0076
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,25,76,"Daly, Conor",3,63,01:15:58.9104
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,26,51,"Abel, Jacob (R)",1,8,00:10:04.8309
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,26,51,"Abel, Jacob (R)",2,34,00:41:23.7510
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,26,51,"Abel, Jacob (R)",3,62,01:15:15.7479
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",1,2,00:02:46.7080
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",2,31,00:37:05.1611
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",3,60,01:11:19.6632
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",4,61,01:13:24.5302
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",5,78,01:34:35.5905
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,10,"Palou, Alex",1,2,00:03:37.9733
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,10,"Palou, Alex",2,39,00:46:24.9409
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,10,"Palou, Alex",3,72,01:21:33.7041
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,9,"Dixon, Scott",1,2,00:03:37.4774
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,9,"Dixon, Scott",2,39,00:46:24.3096
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,9,"Dixon, Scott",3,73,01:22:37.0448
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,3,2,"Newgarden, Josef",1,2,00:03:38.3673
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,3,2,"Newgarden, Josef",2,38,00:45:20.5081
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,3,2,"Newgarden, Josef",3,70,01:19:27.5398
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,4,3,"McLaughlin, Scott",1,32,00:38:45.2996
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,4,3,"McLaughlin, Scott",2,45,00:52:49.8196
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,4,3,"McLaughlin, Scott",3,74,01:23:44.7435
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,27,"Kirkwood, Kyle",1,2,00:03:39.0924
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,27,"Kirkwood, Kyle",2,36,00:43:18.9507
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,27,"Kirkwood, Kyle",3,70,01:19:30.8093
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,28,"Ericsson, Marcus",1,2,00:03:50.4489
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,28,"Ericsson, Marcus",2,37,00:44:45.5754
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,28,"Ericsson, Marcus",3,69,01:18:47.5574
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,60,"Rosenqvist, Felix",1,31,00:37:47.4507
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,60,"Rosenqvist, Felix",2,46,00:54:06.5364
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,60,"Rosenqvist, Felix",3,75,01:25:04.0280
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,7,"Lundgaard, Christian",1,34,00:40:57.3698
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,7,"Lundgaard, Christian",2,69,01:18:22.5971
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,7,"Lundgaard, Christian",3,73,01:23:05.5689
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,18,"Veekay, Rinus",1,2,00:03:50.2173
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,18,"Veekay, Rinus",2,34,00:41:36.9795
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,18,"Veekay, Rinus",3,66,01:15:47.7694
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,20,"Rossi, Alexander",1,33,00:40:09.0194
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,20,"Rossi, Alexander",2,64,01:13:17.5724
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,20,"Rossi, Alexander",3,71,01:21:11.0545
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,5,"O'Ward, Pato",1,2,00:03:44.6716
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,5,"O'Ward, Pato",2,23,00:29:54.5469
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,5,"O'Ward, Pato",3,54,01:02:45.6873
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,5,"O'Ward, Pato",4,85,01:35:48.0467
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,15,"Rahal, Graham",1,35,00:42:17.8786
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,15,"Rahal, Graham",2,47,00:55:25.0646
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,15,"Rahal, Graham",3,69,01:19:03.3713
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,4,"Malukas, David",1,33,00:40:10.4828
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,4,"Malukas, David",2,48,00:56:24.6666
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,4,"Malukas, David",3,70,01:20:08.0685
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,14,"Ferrucci, Santino",1,31,00:37:55.8861
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,14,"Ferrucci, Santino",2,44,00:52:04.3335
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,14,"Ferrucci, Santino",3,71,01:21:03.4828
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,21,"Rasmussen, Christian",1,2,00:03:43.0195
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,21,"Rasmussen, Christian",2,35,00:42:34.4652
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,21,"Rasmussen, Christian",3,68,01:17:51.8875
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,26,"Herta, Colton",1,2,00:03:34.3408
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,26,"Herta, Colton",2,36,00:43:11.9456
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,26,"Herta, Colton",3,47,00:55:17.3530
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,26,"Herta, Colton",4,73,01:23:12.8995
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,76,"Daly, Conor",1,2,00:03:51.4959
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,76,"Daly, Conor",2,37,00:44:50.6690
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,76,"Daly, Conor",3,66,01:15:58.0531
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,8,"Simpson, Kyffin",1,2,00:03:42.7174
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,8,"Simpson, Kyffin",2,38,00:45:46.3253
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,8,"Simpson, Kyffin",3,72,01:22:10.6848
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,19,90,"Ilott, Callum",1,33,00:40:17.7077
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,19,90,"Ilott, Callum",2,60,01:09:22.2634
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,19,90,"Ilott, Callum",3,71,01:21:24.0068
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,20,83,"Shwartzman, Robert (R)",1,2,00:03:57.2314
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,20,83,"Shwartzman, Robert (R)",2,37,00:44:57.9817
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,20,83,"Shwartzman, Robert (R)",3,69,01:19:16.1848
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,21,77,"Robb, Sting Ray",1,2,00:03:56.5775
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,21,77,"Robb, Sting Ray",2,34,00:41:45.9270
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,21,77,"Robb, Sting Ray",3,67,01:17:21.1501
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,22,30,"DeFrancesco, Devlin",1,2,00:03:50.9030
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,22,30,"DeFrancesco, Devlin",2,37,00:44:49.3049
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,22,30,"DeFrancesco, Devlin",3,47,00:55:47.3946
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,22,30,"DeFrancesco, Devlin",4,82,01:33:30.5152
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,23,51,"Abel, Jacob (R)",1,3,00:05:48.6087
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,23,51,"Abel, Jacob (R)",2,35,00:43:04.0103
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,23,51,"Abel, Jacob (R)",3,66,01:16:25.9581
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,24,66,"Armstrong, Marcus",1,35,00:42:10.9966
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,24,66,"Armstrong, Marcus",2,44,00:52:12.2640