pitcherID_2024,player,age,team,team_rank,team_wins,team_win_pct,league,division,team_division_standing,salary,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
1,MacKenzieGore,25,WAS,25,71,0.438,NL,NL_East,4,749600,0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,13,0.17,0.056
2,NathanEovaldi,34,TEX,21,78,0.481,AL,AL_West,3,20000000,0,0,3,1,1,0,0,0,0,6,3,2,2,1,0,0,9,0.5,0.143
3,LoganGilbert,27,SEA,14,85,0.525,AL,AL_West,2,4050000,0,0,1.29,1,1,0,0,0,0,7,2,1,1,1,0,0,8,0.29,0.087
4,HunterGreene,24,CIN,22,77,0.475,NL,NL_Central,4,3333333,0,0,3.6,1,1,0,0,0,0,5,3,2,2,1,0,1,8,0.8,0.167
5,FreddyPeralta,28,MIL,4,93,0.574,AL,NL_Central,1,5734960,0,1,3.6,1,1,0,0,0,0,5,4,2,2,2,0,1,8,1,0.211
6,ZackWheeler,34,PHI,2,95,0.586,NL,NL_East,1,23500000,0,0,1.5,1,1,0,0,0,0,6,2,1,1,1,0,2,8,0.67,0.111
7,SandyAlcantara,,MIA,28,62,0.383,NL,NL_East,5,9300000,0,0,3.86,1,1,0,0,0,0,4.2,2,2,2,0,0,4,7,1.29,0.125
8,CarlosRodón,31,NYY,3,94,0.58,AL,AL_East,1,,1,0,1.69,1,1,0,0,0,0,5.1,4,1,1,1,0,2,7,1.13,0.2
9,ChrisSale,35,ATL,8,89,0.549,NL,NL_East,2,17100000,0,0,5.4,1,1,0,0,0,0,5,6,3,3,0,0,1,7,1.4,0.3
10,PaulSkenes,22,PIT,23,76,0.469,NL,NL_Central,5,740000,0,0,3.38,1,1,0,0,0,0,5.1,3,2,2,0,0,2,7,0.94,0.167
11,JustinSteele,28,CHC,16,83,0.512,NL,NL_Central,2,4000000,1,1,8,2,2,0,0,0,0,9,11,8,8,3,1,2,7,1.44,0.314
12,SonnyGray,34,STL,15,83,0.512,NL,NL_Central,3,10000000,1,0,3.6,1,1,0,0,0,0,5,4,2,2,1,0,2,6,1.2,0.222
13,LuisSeverino,30,NYM,10,89,0.549,NL,NL_East,3,14250000,0,0,0,1,1,0,0,0,0,6,3,0,0,0,1,4,6,1.17,0.158
14,JoséBerríos,30,TOR,24,74,0.457,AL,AL_East,5,18000000,0,1,10.8,1,1,0,0,0,0,5,9,6,6,3,0,2,5,2.2,0.409
15,BenBrown,24,CHC,16,83,0.512,NL,NL_Central,2,740000,0,1,6.75,1,0,0,0,0,0,2.2,4,3,2,0,0,3,5,2.63,0.333
16,YuseiKikuchi,33,LAA,27,63,0.389,AL,AL_West,5,10000000,0,1,4.5,1,1,0,0,0,0,6,5,3,3,1,0,0,5,0.83,0.217
17,LoganWebb,27,SF,20,80,0.494,NL,NL_West,4,8000000,0,0,5.4,1,1,0,0,0,0,5,6,3,3,0,0,3,5,1.8,0.316
18,GarrettCrochet,25,BOS,18,81,0.5,AL,AL_East,3,800000,0,0,3.6,1,1,0,0,0,0,5,5,2,2,0,0,2,4,1.4,0.263
19,ZacGallen,28,ARI,9,89,0.549,NL,NL_West,3,10011000,0,1,9,1,1,0,0,0,0,4,4,4,4,1,0,4,4,2,0.235
20,ClayHolmes,31,NYM,10,89,0.549,NL,NL_East,3,6050000,0,1,3.86,1,1,0,0,0,0,4.2,5,3,2,0,1,4,4,1.93,0.278
21,BlakeTreinen,36,LAD,1,98,0.605,NL,NL_West,1,1000000,0,0,0,2,0,0,0,1,1,2,1,0,0,0,1,1,4,1,0.143
22,FramberValdez,30,HOU,11,88,0.547,AL,AL_West,1,12100000,1,0,0,1,1,0,0,0,0,7,4,0,0,0,1,2,4,0.86,0.174
23,AlexVesia,28,LAD,1,98,0.605,NL,NL_West,1,1000000,0,0,4.5,2,0,0,0,1,1,2,2,1,1,1,0,1,4,1.5,0.25
24,YoshinobuYamamoto,25,LAD,1,98,0.605,NL,NL_West,1,13333333,1,0,1.8,1,1,0,0,0,0,5,3,1,1,0,0,1,4,0.8,0.167
25,CamBooser,32,CWS,30,41,0.253,AL,AL_Central,5,,0,0,9,1,0,0,0,0,0,1,1,1,1,1,0,0,3,1,0.25
26,SeanBurke,24,CWS,30,41,0.253,AL,AL_Central,5,740000,1,0,0,1,1,0,0,0,0,6,3,0,0,0,1,0,3,0.5,0.143
27,Jose A.Ferrer,24,WAS,25,71,0.438,NL,NL_East,4,,0,0,13.5,1,0,0,0,0,0,1.1,3,2,2,1,0,1,3,3,0.429
28,RyanHelsley,29,STL,15,83,0.512,NL,NL_Central,3,3800000,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,3,1,0.25
29,PorterHodge,23,CHC,16,83,0.512,NL,NL_Central,2,740000,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,3,1,0.143
30,MichaelKing,29,SD,5,93,0.574,NL,NL_West,2,3150000,0,0,10.13,1,1,0,0,0,0,2.2,4,3,3,1,0,4,3,3,0.333
31,LandonKnack,26,LAD,1,98,0.605,NL,NL_West,1,740000,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0.5,0.143
32,BenLively,32,CLE,6,92,0.571,AL,AL_Central,1,750000,0,0,5.4,1,1,0,0,0,0,5,4,3,3,1,0,0,3,0.8,0.211
33,PabloLópez,28,MIN,17,82,0.506,AL,AL_Central,2,8250000,0,1,3.6,1,1,0,0,0,0,5,8,4,2,1,0,0,3,1.6,0.364
34,PennMurfee,,CWS,30,41,0.253,AL,AL_Central,5,760000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
35,RyneNelson,26,ARI,9,89,0.549,NL,NL_West,3,764300,0,0,21.6,1,0,0,0,0,0,1.2,5,4,4,0,0,1,3,3.6,0.455
36,ColeRagans,26,KC,12,86,0.531,AL,AL_Central,2,753750,0,0,5.4,1,1,0,0,0,0,5,5,3,3,0,0,2,3,1.4,0.294
37,RokiSasaki,,LAD,1,98,0.605,NL,NL_West,1,,0,0,3,1,1,0,0,0,0,3,1,1,1,0,0,5,3,2,0.111
38,JoséAlvarado,29,PHI,2,95,0.586,NL,NL_East,1,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
39,LakeBachar,29,MIA,28,62,0.383,NL,NL_East,5,740000,0,0,13.5,1,0,0,0,0,0,1.1,1,2,2,1,1,0,2,0.75,0.2
40,ScottBarlow,31,CIN,22,77,0.475,NL,NL_Central,4,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
41,HuascarBrazobán,34,NYM,10,89,0.549,NL,NL_East,3,,0,0,0,1,0,0,0,0,0,2.1,1,0,0,0,0,1,2,0.86,0.125
42,JohnBrebbia,34,DET,13,86,0.531,AL,AL_Central,3,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
43,BenCasparius,25,LAD,1,98,0.605,NL,NL_West,1,,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,2,1,0.143
44,ZachEflin,30,BAL,7,91,0.562,AL,AL_East,2,11000000,1,0,3,1,1,0,0,0,0,6,2,2,2,1,0,1,2,0.5,0.1
45,LuisGarcía,37,LAD,1,98,0.605,NL,NL_West,1,,0,0,9,1,0,0,0,0,0,1,2,1,1,0,0,1,2,3,0.4
46,IanGibaut,30,CIN,22,77,0.475,NL,NL_Central,4,760000,0,1,54,1,0,0,0,0,1,0.2,3,4,4,1,0,1,2,6,0.6
47,JoshHader,30,HOU,11,88,0.547,AL,AL_West,1,19000000,0,0,9,1,0,0,0,1,1,1,2,1,1,0,0,1,2,3,0.5
48,TimHerrin,27,CLE,6,92,0.571,AL,AL_Central,1,740800,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
49,GrantHolmes,28,ATL,8,89,0.549,NL,NL_East,2,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
50,ShotaImanaga,30,CHC,16,83,0.512,NL,NL_Central,2,9250000,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,4,2,1,0
51,BryceJarvis,26,ARI,9,89,0.549,NL,NL_West,3,743600,0,0,10.8,1,0,0,0,0,0,1.2,3,2,2,0,0,1,2,2.4,0.375
52,MarkLeiter,33,NYY,3,94,0.58,AL,AL_East,1,1500000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
53,ChrisMartin,38,TEX,21,78,0.481,AL,AL_West,3,7500000,0,0,0,1,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0.75,0.2
54,YukiMatsui,28,SD,5,93,0.574,NL,NL_West,2,3250000,0,0,0,1,0,0,0,0,0,1.2,0,0,0,0,0,0,2,0,0
55,EmilioPagán,33,CIN,22,77,0.475,NL,NL_Central,4,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
56,NatePearson,27,CHC,16,83,0.512,NL,NL_Central,2,800000,0,0,13.5,2,0,0,0,0,0,2,1,3,3,1,1,2,2,1.5,0.2
57,RyanPepiot,26,TB,19,80,0.494,AL,AL_East,4,744900,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,2,2,0.4
58,RandyRodríguez,24,SF,20,80,0.494,NL,NL_West,4,,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0.25
59,TonySantillan,27,CIN,22,77,0.475,NL,NL_Central,4,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
60,TannerScott,29,LAD,1,98,0.605,NL,NL_West,1,5700000,0,0,4.5,2,0,0,0,1,1,2,1,1,1,0,0,0,2,0.5,0.167
61,TarikSkubal,27,DET,13,86,0.531,AL,AL_Central,3,2650000,0,1,7.2,1,1,0,0,0,0,5,6,4,4,2,0,1,2,1.4,0.286
62,CadeSmith,25,CLE,6,92,0.571,AL,AL_Central,1,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
63,BlakeSnell,31,LAD,1,98,0.605,NL,NL_West,1,23500000,1,0,3.6,1,1,0,0,0,0,5,5,2,2,0,0,4,2,1.8,0.263
64,RobertSuarez,33,SD,5,93,0.574,NL,NL_West,2,13000000,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0
65,LukeWeaver,30,NYY,3,94,0.58,AL,AL_East,1,2250000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0
66,DevinWilliams,29,NYY,3,94,0.58,AL,AL_East,1,7000000,0,0,9,1,0,0,0,1,1,1,2,1,1,0,0,1,2,3,0.5
67,KirbyYates,37,LAD,1,98,0.605,NL,NL_West,1,4500000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0.25
68,BryanAbreu,27,HOU,11,88,0.547,AL,AL_West,1,1750000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0
69,JasonAdam,32,SD,5,93,0.574,NL,NL_West,2,2700000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70,TylerAlexander,29,MIL,4,93,0.574,AL,NL_Central,1,1950000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.333
71,ShawnArmstrong,33,TEX,21,78,0.481,AL,AL_West,3,,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0
72,BryanBaker,29,BAL,7,91,0.562,AL,AL_East,2,,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.333
73,AnthonyBanda,30,LAD,1,98,0.605,NL,NL_West,1,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
74,JalenBeeks,30,ARI,9,89,0.549,NL,NL_West,3,1675000,0,0,0,1,0,0,0,0,0,1.2,0,0,0,0,0,0,1,0,0
75,RyanBorucki,30,PIT,23,76,0.469,NL,NL_Central,5,1600000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0
76,RyanBrasier,36,CHC,16,83,0.512,NL,NL_Central,2,4500000,0,0,9,1,0,0,0,0,0,1,2,1,1,0,0,1,1,3,0.4
77,BeauBrieske,26,DET,13,86,0.531,AL,AL_Central,3,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
78,AroldisChapman,36,BOS,18,81,0.5,AL,AL_East,3,10500000,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.25
79,EmmanuelClase,26,CLE,6,92,0.571,AL,AL_Central,1,2900000,1,0,9,1,0,0,0,0,1,1,3,1,1,0,0,0,1,3,0.6
80,MikeClevinger,33,CWS,30,41,0.253,AL,AL_Central,5,3000000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,1,1,3,0
81,JackDreyer,,LAD,1,98,0.605,NL,NL_West,1,,0,0,9,1,0,0,0,0,0,1,2,1,1,0,0,0,1,2,0.4
82,JeremiahEstrada,25,SD,5,93,0.574,NL,NL_West,2,740000,0,0,0,1,0,0,0,0,0,1.1,0,0,0,0,0,1,1,0.75,0
83,CarlosEstévez,31,KC,12,86,0.531,AL,AL_Central,2,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
84,CalebFerguson,27,PIT,23,76,0.469,NL,NL_Central,5,2400000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
85,KyleFinnegan,32,WAS,25,71,0.438,NL,NL_East,4,5100000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,3,0.25
86,KyleFreeland,31,COL,29,61,0.377,NL,NL_West,5,15000000,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87,HunterGaddis,26,CLE,6,92,0.571,AL,AL_Central,1,740700,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
88,ChadGreen,33,TOR,24,74,0.457,AL,AL_East,5,10500000,0,0,27,1,0,0,0,0,0,0.1,1,1,1,1,0,0,1,3,0.5
89,BrenanHanifee,26,DET,13,86,0.531,AL,AL_Central,3,740000,0,0,9,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0.25
90,HunterHarvey,29,KC,12,86,0.531,AL,AL_Central,2,2325000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
91,ColinHolderman,28,PIT,23,76,0.469,NL,NL_Central,5,755000,0,0,18,1,0,0,0,0,1,1,2,2,2,0,0,2,1,4,0.4
92,BryanHudson,27,MIL,4,93,0.574,AL,NL_Central,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0
93,LukeJackson,32,TEX,21,78,0.481,AL,AL_West,3,6500000,0,1,81,1,0,0,0,0,0,0.1,2,3,3,1,0,1,1,9,0.667
94,AlekJacob,26,SD,5,93,0.574,NL,NL_West,2,,0,0,9,1,0,0,0,0,0,1,3,1,1,1,0,0,1,3,0.5
95,GriffinJax,29,MIN,17,82,0.506,AL,AL_Central,2,761750,0,0,13.5,1,0,0,0,0,0,0.2,1,1,1,1,0,1,1,3,0.333
96,RyanJohnson,,LAA,27,63,0.389,AL,AL_West,5,,0,0,27,1,0,0,0,0,0,1.2,4,5,5,2,0,1,1,3,0.444
97,OrionKerkering,23,PHI,2,95,0.586,NL,NL_East,1,742500,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0.4
98,JoséLeclerc,30,OAK,26,69,0.426,AL,AL_West,4,,0,1,81,1,0,0,0,0,1,0.1,2,3,3,2,0,1,1,9,0.667
99,RichardLovelady,28,TOR,24,74,0.457,AL,AL_East,5,740000,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,1,1,1,1.5,0
100,PhilMaton,31,STL,15,83,0.512,NL,NL_Central,3,6250000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.25
101,ErikMiller,26,SF,20,80,0.494,NL,NL_West,4,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
102,SamMoll,32,CIN,22,77,0.475,NL,NL_Central,4,760000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0
103,EliMorgan,28,CHC,16,83,0.512,NL,NL_Central,2,751200,0,0,0,1,0,0,0,0,0,1.1,1,0,0,0,0,0,1,0.75,0.2
104,AndrésMuñoz,25,SEA,14,85,0.525,AL,AL_West,2,,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
105,ColinPoche,30,WAS,25,71,0.438,NL,NL_East,4,2375000,0,1,40.5,1,0,0,0,0,0,0.2,1,4,3,0,0,2,1,4.5,0.333
106,YarielRodriguez,,TOR,24,74,0.457,AL,AL_East,5,,0,0,27,1,0,0,0,0,0,1,3,3,3,2,0,1,1,4,0.5
107,JordanRomano,31,PHI,2,95,0.586,NL,NL_East,1,7750000,0,0,18,1,0,0,0,0,1,1,1,2,2,0,1,1,1,2,0.25
108,ChrisRoycroft,27,STL,15,83,0.512,NL,NL_Central,3,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
109,ColeSands,26,MIN,17,82,0.506,AL,AL_Central,2,749450,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
110,DennisSantana,28,PIT,23,76,0.469,NL,NL_Central,5,740000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,2,1,6,0
111,PaulSewald,34,CLE,6,92,0.571,AL,AL_Central,1,7350000,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
112,LucasSims,30,WAS,25,71,0.438,NL,NL_East,4,2850000,0,0,13.5,1,0,0,0,0,1,0.2,1,1,1,1,0,0,1,1.5,0.333
113,JustinSlaten,26,BOS,18,81,0.5,AL,AL_East,3,740000,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
114,GeorgeSoriano,25,MIA,28,62,0.383,NL,NL_East,5,,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,1,1,0
115,MattStrahm,32,PHI,2,95,0.586,NL,NL_East,1,7500000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
116,CalebThielbar,37,CHC,16,83,0.512,NL,NL_Central,2,3225000,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
117,TrentThornton,30,SEA,14,85,0.525,AL,AL_West,2,1200000,1,0,9,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0.25
118,JesusTinoco,,MIA,28,62,0.383,NL,NL_East,5,740000,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0.25
119,GarrettWhitlock,28,BOS,18,81,0.5,AL,AL_East,3,3500000,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0.5,0.143
120,DannyYoung,30,NYM,10,89,0.549,NL,NL_East,3,740000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.333
